Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
GlcNAc(b1-2),Neu5Ac(a2-8),4.96642735685,4.71335506267209,3.0807481379682425e-05,reverse,5.7990553185284566e-05,***
GlcNAc(b1-2),Neu5Gc(a2-3),0.049789960848214285,5.385924323056519,1.8249641261016064e-07,reverse,4.171346573946529e-07,***
GlcNAc(b1-2),Neu5Gc(a2-3/6),0.3622332483333334,5.534271244669038,0.0026420065987324006,reverse,0.0039479528666698255,**
GlcNAc(b1-2),Neu5Gc(a2-6),0.03271842225454546,52.373947196251,7.714803713875069e-126,reverse,3.703105782660033e-124,***
GlcNAc(b1-2),OS,7.2859541315000005,2.31787480851612,0.02467415118551306,reverse,0.03312893026306649,*
GlcNAc(b1-2/4),GlcNAc(b1-2/6),43.0,5.669222327585239,2.7715375253401653e-05,reverse,5.2686653947060575e-05,***
GlcNAc(b1-2/4),GlcNAc(b1-4),-1.3157894736842124,-0.1589854497468258,0.8741228777805607,forward,0.8786994373500925,n.s.
GlcNAc(b1-2/4),Man(a1-3/6),49.5,4.594545260833345,0.0025002751847091873,reverse,0.0037799435863319995,**
GlcNAc(b1-2/4),Man(a1-6),-5.743609878229813,-4.658546668259892,6.660687531446466e-06,forward,1.3751096839115285e-05,***
GlcNAc(b1-2/4),Neu5Ac(a2-3),6.4742545923626365,2.5882948460239716,0.011047114416462151,reverse,0.01559592623500539,*
GlcNAc(b1-2/4),Neu5Ac(a2-6),0.4535672601019525,0.905629261438114,0.36557472246631295,reverse,0.38994637063073384,n.s.
GlcNAc(b1-2/4),OS,89.0,9.88888888888889,0.06415917669625859,reverse,0.07999066185507564,n.s.
GlcNAc(b1-2/4/6),Man(a1-3),-2.2006934028181817,-2.4491168456789407,0.03430959245234809,forward,0.04481252891735261,*
GlcNAc(b1-2/4/6),Man(a1-6),-1.9283335955454548,-2.8521737556784887,0.017185925157688756,forward,0.023738831872490943,*
GlcNAc(b1-2/4/6),Neu5Ac(a2-3/6),-1.4647190995000001,-8.423078793669177,1.796918893763562e-07,forward,4.156728043404866e-07,***
GlcNAc(b1-2/4/6),Neu5Ac(a2-6),-3.367246251833333,-2.1101702901687864,0.0886027560759486,forward,0.10699200733699453,n.s.
GlcNAc(b1-2/6),GlcNAc(b1-4),-13.235294117647054,-0.9772764683462578,0.3359948783750146,forward,0.3644690206101854,n.s.
GlcNAc(b1-2/6),Neu5Ac(a2-3),1.4483592027124996,0.7111561621609388,0.4785546946423499,reverse,0.5020901714280392,n.s.
GlcNAc(b1-2/6),Neu5Ac(a2-6),1.551557956020134,1.5900171533788237,0.11377535349562813,reverse,0.1344268493594005,n.s.
GlcNAc(b1-3),GlcNAc(b1-4),-2.3333333333333335,-1.6161498378886354,0.24744233305932123,forward,0.2746180806207496,n.s.
GlcNAc(b1-4),GlcNAc(b1-4),-2.9586962415890405,-1.3861072483620762,0.16806287691984959,forward,0.18981219040359484,n.s.
GlcNAc(b1-4),GlcNAc(b1-6),-21.75,-1.0653416196374352,0.3540485193085713,forward,0.3797615402639424,n.s.
GlcNAc(b1-4),Man(a1-2/3/6),-3.306724961583334,-0.5586760138328815,0.5790946776037882,forward,0.6010063681077153,n.s.
GlcNAc(b1-4),Man(a1-3),-9.289247656364985,-10.446999337639003,2.6147712679077622e-22,forward,1.321147587995501e-21,***
GlcNAc(b1-4),Man(a1-3/6),-0.5116360611013826,-2.3116735404498217,0.020915235128088357,forward,0.02868375103280689,*
GlcNAc(b1-4),Man(a1-6),-1.4240053453696884,-6.557063729444891,1.0610610694279638e-10,forward,3.040652616868195e-10,***
GlcNAc(b1-4),Neu5Ac(a2-3),-0.3376552647057355,-1.1344644187049064,0.25679917922810497,forward,0.2817453852102637,n.s.
GlcNAc(b1-4),Neu5Ac(a2-3/6),-0.514808458081193,-9.591706930886668,4.319798320929353e-21,forward,1.9288401805079902e-20,***
GlcNAc(b1-4),Neu5Ac(a2-6),-0.7401767406585045,-15.933416577244005,4.618083300712519e-54,forward,1.2666742767668622e-52,***
GlcNAc(b1-4),Neu5Gc(a2-3/6),-1.3619247601000002,-4.14614859986484,0.0024986617392532473,forward,0.0037799435863319995,**
GlcNAc(b1-4/6),Man(a1-3),-1.0282530230655738,-8.62659654903907,2.9434969302792926e-14,forward,1.066323416252121e-13,***
GlcNAc(b1-4/6),Man(a1-3/6),-0.3282329273644445,-6.061020265263416,5.677231266996076e-09,forward,1.4156213029392812e-08,***
GlcNAc(b1-4/6),Man(a1-6),-0.3611556372875,-6.623600437612312,2.2972141744684516e-10,forward,6.392248137651344e-10,***
GlcNAc(b1-4/6),Neu5Ac(a2-3),-0.4376039644463519,-7.971698729961212,1.2220748792795691e-14,forward,4.692767536433545e-14,***
GlcNAc(b1-4/6),Neu5Ac(a2-3/6),-0.5432176322076677,-10.837141991666165,3.3946520596241593e-25,forward,2.1024941788639952e-24,***
GlcNAc(b1-4/6),Neu5Ac(a2-6),-0.5089489204651162,-8.242042264172456,1.687160421576801e-15,forward,6.610914304953996e-15,***
GlcNAc(b1-4/6),Neu5Gc(a2-3),-0.26077411635000003,-22.398512158666037,5.794762518709661e-36,forward,6.181080019956972e-35,***
GlcNAc(b1-4/6),Neu5Gc(a2-6),-0.43941494690000005,-11.809208282842357,3.958316532624096e-19,forward,1.688881720586281e-18,***
GlcNAc(b1-6),Man(a1-3),-0.671241961409836,-1.6984054083933846,0.09461197106825447,forward,0.11353436528190536,n.s.
GlcNAc(b1-6),Man(a1-3/6),-0.29034689745454545,-11.812844240965767,3.1253951958505435e-21,forward,1.428752089531677e-20,***
GlcNAc(b1-6),Man(a1-6),-0.8048337688888889,-2.362855166277656,0.030315785371095333,forward,0.04014228131896761,*
GlcNAc(b1-6),Neu5Ac(a2-3),-0.4478120656824966,-35.05607862101923,4.259228138002288e-159,forward,4.088859012482197e-157,***
GlcNAc(b1-6),Neu5Ac(a2-3/6),-0.675946488254717,-16.21722281947229,1.739430678572354e-53,forward,4.17463362857365e-52,***
GlcNAc(b1-6),Neu5Ac(a2-6),-1.4044254682533512,-35.724926598197534,1.2541124878435435e-163,forward,2.407895976659604e-161,***
