Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
3S,Neu5Ac(a2-6),-10.8,-3.881979835323783,0.017811325477956875,forward,0.02640989639834985,*
6S,Fuc(a1-2),-2.288871961696428,-4.347835344686289,2.7798697906352088e-05,forward,7.200867529958674e-05,***
6S,Fuc(a1-3),-12.656999999999998,-2.7127290541329434,0.02205179406708716,forward,0.03139824983062079,*
6S,Fuc(a1-3/4),-4.9590476190476185,-3.5454792613742514,0.0009473069774621941,forward,0.00183487387526461,**
6S,Gal(b1-3),-4.491091881269231,-14.714740324402172,9.102138099206079e-39,forward,4.892399228323268e-37,***
6S,Gal(b1-3/4),-4.391675585881924,-19.464037816975388,7.835049866798435e-68,forward,1.6845357213616637e-65,***
6S,Gal(b1-4),-4.552996195911876,-12.081620134936095,4.3775406303554025e-27,forward,1.0457458172515684e-25,***
6S,GalNAc(a1-3),1.1500000000000001,1.8543965502413797,0.15806328275554385,reverse,0.19530807926690763,n.s.
6S,GalNAc(b1-4),0.7,0.7452621130370599,0.528677419104967,reverse,0.5599292862441769,n.s.
6S,GlcNAc(?1-?),-0.3220265086415093,-1.8547804182932834,0.06518501395416018,forward,0.08442637349484601,n.s.
6S,GlcNAc(a1-4),-1.9969057564680857,-8.262560140257854,4.125511139584501e-11,forward,2.0158747613878813e-10,***
6S,GlcNAc(b1-3),0.9867261661153847,7.142346100166173,1.3611856050762197e-07,reverse,4.96025262866758e-07,***
6S,GlcNAc(b1-6),1.0332775099687501,3.979954557143728,0.0002929640919402989,reverse,0.000611526988030721,***
6S,HexNAc(?1-?),-0.9333333333333333,-1.129252607204577,0.30587506603116627,forward,0.34430962930209813,n.s.
6S,Neu5Ac(a2-3),-4.496219083036399,-8.831409149457414,7.298016025259037e-18,forward,5.811383131224788e-17,***
6S,Neu5Ac(a2-6),-2.0318604651162797,-3.0584447013856444,0.0030154880265362313,forward,0.004949083402330456,**
Fuc(a1-2),Fuc(a1-2),-0.07671546842819132,-0.2630912770592077,0.7925777983273553,forward,0.8076029698596275,n.s.
Fuc(a1-2),Fuc(a1-3),0.8678028950675676,3.2389648403279536,0.001372082337701151,reverse,0.0024789722908046007,**
Fuc(a1-2),Fuc(a1-3/4),0.7572044470996564,5.780999963099425,1.0146678858721472e-08,reverse,3.827256060745819e-08,***
Fuc(a1-2),Gal(?1-3),0.08444061128171632,0.5724239422802603,0.5671727301840215,reverse,0.5957732237631834,n.s.
Fuc(a1-2),Gal(?1-?),0.015494916625680255,0.1303087875671765,0.8963375611396329,reverse,0.9047538762677045,n.s.
Fuc(a1-2),Gal(a1-3),1.2306284447068965,6.284763556803604,1.2959961313237307e-09,reverse,5.463513102639257e-09,***
Fuc(a1-2),Gal(b1-3),-1.0856731547669174,-4.389599737979727,1.4042848725579766e-05,forward,3.821787944303354e-05,***
Fuc(a1-2),Gal(b1-3/4),-0.6720975349534679,-7.015216559838994,3.0219608189462293e-12,forward,1.6243039401835983e-11,***
Fuc(a1-2),Gal(b1-4),-0.2419674912537314,-1.0803635612870683,0.2803828915662898,forward,0.32065064726995907,n.s.
Fuc(a1-2),GalNAc(a1-3),1.6028334323782052,9.501520840614631,4.6561636198150004e-20,reverse,4.55034171936466e-19,***
Fuc(a1-2),GalNAc(b1-4),2.0823244179629636,2.1234964489006036,0.03809743807235348,reverse,0.05151540368274213,n.s.
Fuc(a1-2),GlcNAc(?1-?),1.0168665752997967,10.341033812374722,2.8841774884187534e-24,reverse,4.1339877334002135e-23,***
Fuc(a1-2),GlcNAc(a1-4),0.6423691489058825,3.4964569203119287,0.000542093590863438,reverse,0.0010995294531664073,**
Fuc(a1-2),GlcNAc(b1-3),1.4772875661727751,8.667683441958207,1.219059869634922e-16,reverse,8.716142985551377e-16,***
Fuc(a1-2),GlcNAc(b1-3/6),1.1103724452576922,9.549870327972176,7.18185236456916e-21,reverse,7.720491291911848e-20,***
Fuc(a1-2),GlcNAc(b1-6),0.7689509061497461,4.829197430395289,1.6525554719418092e-06,reverse,5.075706092392699e-06,***
Fuc(a1-2),HexNAc(?1-3),0.05652173913043451,0.36594319443472234,0.7161637654052281,reverse,0.7402654305871348,n.s.
Fuc(a1-2),HexNAc(?1-4),-0.6833333333333337,-1.6891148830389515,0.10540024328924445,forward,0.13252077372624305,n.s.
Fuc(a1-2),HexNAc(?1-?),-0.128278929338983,-1.1867978477319472,0.23578668225808136,forward,0.2816340926971527,n.s.
Fuc(a1-2),Neu5Ac(a2-3),1.704912567763314,2.305839949774644,0.021932001831896357,reverse,0.03139824983062079,*
Fuc(a1-2),Neu5Ac(a2-3/6),1.0211280447077922,2.439385964790853,0.015087718109237397,reverse,0.022844080235817184,*
Fuc(a1-2),Neu5Ac(a2-6),0.15145178067857112,0.3502270002368947,0.7269672286168675,reverse,0.7478371012087393,n.s.
Fuc(a1-2),OS,0.5344071970000001,3.881449347281646,0.0025569701282730246,reverse,0.0042616168804550415,**
Fuc(a1-2/3),Neu5Ac(a2-3),3.071922659615584,4.26412223261853,2.3332093939516755e-05,reverse,6.193086662958152e-05,***
Fuc(a1-2/3/4),Fuc(a1-3/4),0.42707935233013433,3.1818991979685403,0.0015256588184640596,reverse,0.002692044576159002,**
Fuc(a1-2/3/4),Gal(b1-3),-1.8705191575319149,-10.758800376358137,1.1651480096853093e-25,forward,2.087556850686179e-24,***
Fuc(a1-2/3/4),Gal(b1-3/4),-0.8708407173151421,-13.50691173844028,9.105077242310547e-40,forward,6.525305356989225e-38,***
Fuc(a1-2/3/4),Gal(b1-4),-1.3202645483142497,-6.7095893750103555,3.094707607599592e-11,forward,1.5473538037997958e-10,***
Fuc(a1-2/3/4),GlcNAc(a1-4),0.5338744371121953,3.2162117014150122,0.0014057454986401224,reverse,0.0025186273517302194,**
Fuc(a1-2/3/4),GlcNAc(b1-3),1.2450963913640167,8.164397760586919,1.5647173914846912e-15,reverse,9.611835404834531e-15,***
Fuc(a1-2/3/4),GlcNAc(b1-6),0.6565149215374532,5.1780828924178754,2.689810007054156e-07,reverse,9.036080492447556e-07,***
Fuc(a1-2/3/4),HexNAc(?1-3),-0.025000000000000078,-0.1827930790848869,0.855645018139602,forward,0.8677532023585586,n.s.
Fuc(a1-2/3/4),Neu5Ac(a2-3),1.8800480824489116,3.8145600920380236,0.0001450329617049446,reverse,0.0003352912555544418,***
Fuc(a1-2/3/4),Neu5Ac(a2-3/6),0.32392738858415837,1.0860995850189528,0.27924297240048407,reverse,0.32065064726995907,n.s.
Fuc(a1-3),Fuc(a1-3/4),-4.5925,-3.169668556099588,0.045812141296680056,forward,0.06117770421606343,n.s.
Fuc(a1-3),Gal(a1-3),0.7333333333333332,0.9758040717606613,0.36424504837047955,reverse,0.4036736360806861,n.s.
Fuc(a1-3),Gal(b1-3),-3.5903946830067115,-6.830411012053205,2.0478927743833212e-10,forward,9.571672749835088e-10,***
Fuc(a1-3),Gal(b1-3/4),-3.413887072366569,-8.719653595184006,1.2567461979167104e-16,forward,8.716142985551377e-16,***
Fuc(a1-3),Gal(b1-4),-6.482930359604652,-5.558729298587303,3.0694089828542596e-07,forward,1.0152660481748705e-06,***
Fuc(a1-3),GalNAc(a1-3),-1.15,-1.5333333333333332,0.3679037995596891,forward,0.40563752259145214,n.s.
Fuc(a1-3),GalNAc(b1-4),-0.6836166501590909,-3.3820112456206486,0.0015424886008820347,forward,0.002692044576159002,**
Fuc(a1-3),GlcNAc(a1-4),1.3499999999999999,1.2857142857142858,0.4208331516788686,reverse,0.4546689829696319,n.s.
Fuc(a1-3),Neu5Ac(a2-3),-3.434037267080745,-4.201801849914593,3.6257401867431803e-05,forward,9.170989884115103e-05,***
Fuc(a1-3),Neu5Ac(a2-6),-5.611764705882353,-3.7796705378275686,0.0016416652197240682,forward,0.002801254144767259,**
Fuc(a1-3/4),Fuc(a1-3/4),-1.047644907976471,-3.850647677452883,0.00020908599853606326,forward,0.00046826551755472503,***
Fuc(a1-3/4),Gal(a1-3),-0.5270073790227271,-0.9342908617013383,0.354428037392133,forward,0.3948291608254332,n.s.
Fuc(a1-3/4),Gal(b1-3),-2.4766536307507243,-8.892095564405626,3.419167202888824e-17,forward,2.534899822831369e-16,***
Fuc(a1-3/4),Gal(b1-3/4),-1.0524362256613224,-10.55149792450737,7.368305615860602e-25,forward,1.2186043903154072e-23,***
