Diff 1,Diff 2,Mean Difference,T-Statistic,p-value,Reaction Preference,adj p-value,Significance
GlcNAc(b1-4/6),Neu5Gc(a2-3),-1.19359411255,-5.8329150256239535,1.1401557374387286e-07,forward,4.158853785133649e-07,***
GlcNAc(b1-4/6),Neu5Gc(a2-6),-0.89456523975,-4.176593967779388,7.565743365497483e-05,forward,0.00019712106863847186,***
GlcNAc(b1-6),GlcNAc(b1-6),0.7422693136785715,5.18396779338425,3.196466952747066e-06,reverse,9.490285603892452e-06,***
GlcNAc(b1-6),HexNAc(?1-3),-3.0,-2.2794208520135335,0.04583081751309408,forward,0.06856719963873059,n.s.
GlcNAc(b1-6),HexNAc(?1-4),-0.6307692307692309,-4.206511243549133,0.0012177281110932697,forward,0.0026804015318892087,**
GlcNAc(b1-6),HexNAc(?1-?),-0.6614512874216869,-3.7305856475417754,0.0002672295490012269,forward,0.0006527977816169967,***
GlcNAc(b1-6),Man(a1-3),-1.9676695046229509,-1.26556204483802,0.21056241288133803,forward,0.2593099811368247,n.s.
GlcNAc(b1-6),Man(a1-3/6),-0.6233712335545455,-15.959989125775216,2.7275637093738376e-30,forward,4.1786276027607187e-29,***
GlcNAc(b1-6),Man(a1-6),-0.9306565973888888,-2.5479026946175365,0.0207994029321408,forward,0.035405205880044116,*
GlcNAc(b1-6),Neu5Ac(a2-3),-2.6899520768560077,-8.520316227389827,4.0720098073099343e-17,forward,3.2491244920827187e-16,***
GlcNAc(b1-6),Neu5Ac(a2-3/6),-0.8911868811805908,-23.100950666592514,8.339290117318331e-98,forward,4.562783021332744e-96,***
GlcNAc(b1-6),Neu5Ac(a2-6),-1.457621534127907,-9.699034444882034,4.550632740368985e-21,forward,4.7105198366522196e-20,***
GlcNAc(b1-6),Neu5Gc(a2-3/6),-0.1655984173,-3.4782282117015275,0.006957952293166457,forward,0.013391435820516346,*
GlcNAc(b1-6),Neu5Gc(a2-?),-20.033333333333335,-2.0100334448160537,0.18214486325406334,forward,0.22723609975995523,n.s.
GlcNAc(b1-6),OS,1.3872630268333335,4.099675776604348,0.0017603616809375574,reverse,0.0038091442022547147,**
HexNAc(?1-3),HexNAc(?1-4),3.599999999999999,0.9782672906853945,0.427578578176429,reverse,0.47499935316409087,n.s.
HexNAc(?1-3),Neu5Ac(a2-3),0.7999999999999998,1.1313708498984758,0.45502219105172825,reverse,0.4979242833508912,n.s.
HexNAc(?1-3),Neu5Ac(a2-6),-10.0,-4.1522739926869985,0.008890435771285066,forward,0.01660993609952283,*
HexNAc(?1-4),HexNAc(?1-4),1.4,4.542199791661351,0.019982255700121684,reverse,0.034480733410998526,*
HexNAc(?1-4),HexNAc(?1-?),-0.7600000000000001,-1.4248886849195666,0.17584487814062255,forward,0.22154140897321856,n.s.
HexNAc(?1-4),Neu5Ac(a2-3),0.42500000000000004,0.23945019168406836,0.8146421160815565,reverse,0.8276072425974432,n.s.
HexNAc(?1-?),HexNAc(?1-?),-0.25882352941176473,-0.6286195390506539,0.5341496042766352,forward,0.5698587700221484,n.s.
Man(a1-2),Man(a1-2),0.19748319399999992,0.7564266777773614,0.45065528908342123,reverse,0.4945586696818061,n.s.
Man(a1-2),Man(a1-6),-1.0114409051875,-4.568889503722383,1.7826254368896855e-05,forward,4.983544104589413e-05,***
Man(a1-3),Man(a1-3),-1.1282118904285716,-1.015402829029762,0.326687847689087,forward,0.37801040986380763,n.s.
Man(a1-3),Man(a1-3/6),0.31763928552901793,1.5012214192618016,0.1336508722534683,reverse,0.1759047562648741,n.s.
Man(a1-3),Man(a1-6),0.31142125309016394,2.057114065606249,0.041712115615712884,reverse,0.06339579476515093,n.s.
Man(a1-3),Neu5Ac(a2-3/6),-0.07071483569161677,-6.752595343143265,5.1445927422000105e-11,forward,2.526126949054621e-10,***
Man(a1-3),Neu5Ac(a2-6),-3.1224977510714282,-2.446964743497423,0.029380057766855205,forward,0.04649819059795679,*
Man(a1-3),Neu5Gc(a2-3),0.09952234462727273,17.700169696505355,7.750502019760412e-34,reverse,1.236850947320099e-32,***
