glycan,concentration,unit,ID,species,day,ref,genetic,aggregator
LNT,916,mg/l,human7_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,471,mg/l,human7_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,272,mg/l,human7_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,904,mg/l,human8_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,659,mg/l,human8_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,325,mg/l,human8_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1801,mg/l,human9_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1220,mg/l,human9_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1084,mg/l,human9_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,924,mg/l,human10_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,462,mg/l,human10_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,275,mg/l,human10_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,670,mg/l,human11_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,819,mg/l,human11_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,768,mg/l,human12_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,517,mg/l,human12_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,330,mg/l,human12_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,833,mg/l,human13_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,585,mg/l,human13_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,535,mg/l,human13_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1533,mg/l,human14_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1339,mg/l,human14_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,789,mg/l,human14_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,927,mg/l,human15_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1043,mg/l,human15_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,985,mg/l,human15_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1004,mg/l,human16_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,515,mg/l,human16_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,385,mg/l,human16_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,390,mg/l,human17_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,521,mg/l,human17_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,326,mg/l,human17_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,460,mg/l,human18_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,415,mg/l,human18_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,248,mg/l,human18_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1290,mg/l,human19_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,615,mg/l,human19_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,449,mg/l,human19_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,587,mg/l,human20_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,547,mg/l,human20_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,465,mg/l,human20_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,899,mg/l,human21_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,542,mg/l,human21_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,274,mg/l,human21_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,627,mg/l,human22_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,599,mg/l,human22_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,245,mg/l,human22_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1607,mg/l,human23_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,737,mg/l,human23_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,819,mg/l,human23_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1337,mg/l,human24_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,477,mg/l,human24_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,264,mg/l,human24_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1735,mg/l,human25_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1003,mg/l,human25_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,707,mg/l,human25_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2491,mg/l,human26_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,810,mg/l,human26_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,421,mg/l,human26_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,875,mg/l,human27_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,514,mg/l,human27_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,547,mg/l,human27_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2041,mg/l,human28_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1227,mg/l,human28_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,799,mg/l,human28_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2094,mg/l,human29_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1132,mg/l,human29_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,659,mg/l,human29_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1166,mg/l,human30_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,906,mg/l,human30_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,986,mg/l,human30_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1399,mg/l,human31_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1039,mg/l,human31_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,444,mg/l,human31_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1596,mg/l,human32_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1373,mg/l,human32_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,906,mg/l,human32_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2185,mg/l,human33_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1836,mg/l,human33_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1024,mg/l,human33_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1232,mg/l,human34_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1011,mg/l,human34_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,372,mg/l,human34_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,613,mg/l,human35_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,236,mg/l,human35_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,151,mg/l,human35_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1166,mg/l,human36_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,555,mg/l,human36_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,362,mg/l,human36_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,931,mg/l,human37_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,312,mg/l,human37_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,380,mg/l,human37_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1318,mg/l,human38_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,974,mg/l,human38_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,716,mg/l,human38_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,977,mg/l,human39_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,565,mg/l,human39_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,259,mg/l,human39_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,824,mg/l,human40_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,294,mg/l,human40_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,253,mg/l,human40_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,888,mg/l,human41_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,462,mg/l,human41_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,188,mg/l,human41_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1016,mg/l,human42_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,721,mg/l,human42_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,265,mg/l,human42_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,924,mg/l,human43_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,672,mg/l,human43_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,538,mg/l,human43_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1148,mg/l,human44_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,385,mg/l,human44_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,271,mg/l,human44_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,452,mg/l,human45_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,361,mg/l,human45_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,397,mg/l,human45_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1132,mg/l,human46_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,892,mg/l,human46_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,511,mg/l,human46_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,988,mg/l,human47_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,594,mg/l,human47_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,616,mg/l,human47_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,584,mg/l,human48_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,337,mg/l,human48_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,273,mg/l,human48_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1178,mg/l,human49_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,783,mg/l,human49_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,479,mg/l,human49_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2762,mg/l,human50_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,2254,mg/l,human50_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
LNT,1524,mg/l,human50_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,209,mg/l,human1_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,363,mg/l,human1_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,26,mg/l,human1_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,198,mg/l,human2_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,207,mg/l,human2_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,193,mg/l,human2_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,186,mg/l,human3_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,227,mg/l,human3_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,260,mg/l,human3_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,206,mg/l,human4_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,156,mg/l,human4_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,228,mg/l,human4_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,134,mg/l,human5_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,179,mg/l,human5_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,179,mg/l,human5_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,183,mg/l,human6_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,260,mg/l,human6_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,229,mg/l,human6_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,227,mg/l,human7_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,157,mg/l,human7_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,143,mg/l,human7_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,221,mg/l,human8_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,188,mg/l,human8_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,157,mg/l,human8_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,176,mg/l,human9_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,257,mg/l,human9_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,215,mg/l,human9_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,157,mg/l,human10_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,124,mg/l,human10_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,112,mg/l,human10_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,303,mg/l,human11_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,328,mg/l,human11_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,297,mg/l,human12_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,264,mg/l,human12_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,320,mg/l,human12_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,126,mg/l,human13_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,92,mg/l,human13_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,167,mg/l,human13_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,242,mg/l,human14_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,203,mg/l,human14_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,191,mg/l,human14_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,309,mg/l,human15_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,477,mg/l,human15_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,462,mg/l,human15_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,336,mg/l,human16_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,161,mg/l,human16_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,215,mg/l,human16_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,161,mg/l,human17_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,298,mg/l,human17_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,269,mg/l,human17_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,83,mg/l,human18_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,87,mg/l,human18_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,116,mg/l,human18_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,275,mg/l,human19_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,201,mg/l,human19_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,268,mg/l,human19_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,351,mg/l,human20_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,382,mg/l,human20_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,219,mg/l,human20_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,244,mg/l,human21_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,205,mg/l,human21_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,237,mg/l,human21_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,207,mg/l,human22_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,217,mg/l,human22_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,325,mg/l,human22_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,337,mg/l,human23_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,222,mg/l,human23_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,181,mg/l,human23_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,437,mg/l,human24_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,304,mg/l,human24_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,295,mg/l,human24_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,296,mg/l,human25_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,240,mg/l,human25_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,182,mg/l,human25_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,217,mg/l,human26_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,244,mg/l,human26_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,258,mg/l,human26_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,164,mg/l,human27_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,177,mg/l,human27_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,108,mg/l,human27_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,427,mg/l,human28_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,238,mg/l,human28_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,278,mg/l,human28_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,333,mg/l,human29_d30_sprenger2017,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,274,mg/l,human29_d60_sprenger2017,Homo_sapiens,60,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
3SL,221,mg/l,human29_d120_sprenger2017,Homo_sapiens,120,https://pubmed.ncbi.nlm.nih.gov/28182762/,,
