glycan,human1_d_wang2023,human2_d_wang2023,human_d120_wang2022,human_d150_wang2022,human_d15_wang2022,human_d180_wang2022,human_d210_wang2022,human_d240_wang2022,human_d304_wang2022,human_d304_wang2023,human_d304_wang2024,human_d304_wang2025,human_d304_wang2026,human_d304_wang2027,human_d304_wang2028,human_d304_wang2029,human_d304_wang2030,human_d304_wang2031,human_d304_wang2032,human_d30_wang2022,human_d30_wang2023,human_d30_wang2024,human_d30_wang2025,human_d30_wang2026,human_d30_wang2027,human_d30_wang2028,human_d30_wang2029,human_d30_wang2030,human_d30_wang2031,human_d30_wang2032,human_d45_yamaguchi2024,human_d60_wang2022,human_d7_wang2022,human_d90_wang2022
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,,,
Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,,
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,
GalNAc,,,11.62437826,10.81488359,11.67575457,10.72873987,11.47880113,10.88364085,,,,,,,,,,,,12.43602686,,,,,,,,,,,,11.20164389,8.953789506,11.12482257
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,
GlcNAc(?1-?)Gal(b1-3)GalNAc,,,7.200008882,7.339812623,4.268722536,5.21275796,9.043270715,13.66069089,,,,,,,,,,,,13.41814029,,,,,,,,,,,,11.44675645,9.449670204,8.37340847
GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.162266336,1.202361848,1.588153235,1.744391332,1.377065251,1.64804186,,1.608520813,,,,,,,,,,,,,,,,,,,,,0.034,1.534058502,1.063403275,1.0203974
GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,1.516144038,0.983082407,2.39375549,0.890146963,1.404347605,1.226600686,,,,,,,,,,,,1.712951806,,,,,,,,,,,,1.898272631,1.546112348,1.320799695
GlcNAc(b1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.780306267,2.13429947,1.215755943,1.760413978,2.198772756,2.103149654,,,,,,,,,,,,,1.36280083,,,,,,,,,,,0.883035933,0.453682381,1.198022914
GlcNAc(b1-2)Man(a1-3)[Man(a1-?)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,2.802303172,1.94074555,0.291717837,2.52297321,1.208284587,1.949013325,,,,1.068881927,,,,,,,,,,,,,,,,,,,,1.499022244,0.466832595,1.79840559
